lane,length
:86_4_0,37.88
:86_5_0,32.58
:86_6_0,35.27
:87_0_0,13.32
:87_0_1,13.32
:87_2_0,8.05
:87_2_1,8.05
:87_2_2,8.05
:88_0_0,0.36
:88_0_1,0.36
:88_0_2,0.36
:90_0_0,4.02
:90_0_1,4.02
:91_0_0,15.29
:91_0_1,15.29
:91_0_2,15.29
:91_0_3,15.29
:97_0_0,33.63
:97_0_1,33.63
:97_0_2,33.63
:97_0_3,33.63
:97_0_4,33.63
:97_0_5,33.63
:98_0_0,21.65
:98_0_1,21.65
:98_0_2,21.65
:98_0_3,21.65
:98_0_4,21.65
:98_0_5,21.65
:9_0_0,6.11
:9_0_1,6.11
:9_0_2,6.11
:9_0_3,6.11
:J0_0_0,10.36
:J0_0_1,10.36
:J0_0_2,10.36
:J0_3_0,10.54
:J0_3_1,14.53
:J3_0_0,16.84
:J3_0_1,16.84
:J3_0_2,16.84
:J3_3_0,16.97
:J3_3_1,16.38
:J46_0_0,15.62
:J46_0_1,15.62
:J46_2_0,13.13
:J46_2_1,10.71
:J46_2_2,8.68
:J48_0_0,15.35
:J48_0_1,15.64
:J48_2_0,15.89
:J48_2_1,15.89
:J4_0_0,18.96
:J4_0_1,18.96
:J4_2_0,18.89
:J60_0_0,10.81
:J60_1_0,10.83
:J61_0_0,7.85
:J61_1_0,8.27
:J70_0_0,6.65
:J70_1_0,6.71
:J70_1_1,6.71
:J70_1_2,6.71
:J71_0_0,6.17
:J71_1_0,7.01
:J71_1_1,7.01
:J72_0_0,10.58
:J72_1_0,11.4
:J72_1_1,11.4
:J73_0_0,5.7
:J73_1_0,6.85
:J73_1_1,6.85
:J73_1_2,6.85
:J8_0_0,21.3
:J8_0_1,21.3
:J8_2_0,21.29
:cluster_44_76_0_0,13.32
:cluster_44_76_0_1,15.9
:cluster_44_76_2_0,29.15
:cluster_44_76_3_0,23.82
:cluster_44_76_3_1,22.62
:cluster_44_76_5_0,12.33
:cluster_44_76_6_0,3.2
:cluster_69_70_0_0,12.75
:cluster_69_70_1_0,12.88
:cluster_69_70_2_0,14.86
:cluster_69_70_2_1,14.86
:cluster_69_70_2_2,14.86
:cluster_cluster_62_64_gneJ230_0_0,25.36
:cluster_cluster_62_64_gneJ230_10_0,15.03
:cluster_cluster_62_64_gneJ230_11_0,17.67
:cluster_cluster_62_64_gneJ230_12_0,12.59
:cluster_cluster_62_64_gneJ230_13_0,10.13
:cluster_cluster_62_64_gneJ230_1_0,33.75
:cluster_cluster_62_64_gneJ230_2_0,32.11
:cluster_cluster_62_64_gneJ230_3_0,38.66
:cluster_cluster_62_64_gneJ230_4_0,29.02
:cluster_cluster_62_64_gneJ230_4_1,29.02
:cluster_cluster_62_64_gneJ230_6_0,21.43
:cluster_cluster_62_64_gneJ230_7_0,21.34
:cluster_cluster_62_64_gneJ230_8_0,21.84
:cluster_cluster_62_64_gneJ230_9_0,23.25
:cluster_cluster_gneJ211_gneJ214_gneJ221_0_0,14.81
:cluster_cluster_gneJ211_gneJ214_gneJ221_0_1,14.81
:cluster_cluster_gneJ211_gneJ214_gneJ221_2_0,15.3
:cluster_cluster_gneJ211_gneJ214_gneJ221_2_1,13.37
:cluster_cluster_gneJ212_gneJ217_gneJ220_0_0,15.12
:cluster_cluster_gneJ212_gneJ217_gneJ220_0_1,15.12
:cluster_cluster_gneJ212_gneJ217_gneJ220_2_0,5.99
:cluster_cluster_gneJ212_gneJ217_gneJ220_2_1,5.99
:cluster_cluster_gneJ212_gneJ217_gneJ220_4_0,10.62
:cluster_cluster_gneJ212_gneJ217_gneJ220_5_0,5.28
:cluster_gneJ110_gneJ111_0_0,11.48
:cluster_gneJ110_gneJ111_1_0,10.47
:cluster_gneJ110_gneJ111_2_0,6.8
:cluster_gneJ110_gneJ111_3_0,11.06
:cluster_gneJ110_gneJ111_3_1,11.06
:cluster_gneJ110_gneJ111_3_2,11.06
:cluster_gneJ110_gneJ111_6_0,6.8
:cluster_gneJ135_gneJ136_0_0,8.5
:cluster_gneJ135_gneJ136_1_0,15.65
:cluster_gneJ135_gneJ136_1_1,15.65
:cluster_gneJ234_gneJ235_gneJ237_0_0,21.12
:cluster_gneJ234_gneJ235_gneJ237_1_0,34.63
:cluster_gneJ234_gneJ235_gneJ237_2_0,21.44
:cluster_gneJ234_gneJ235_gneJ237_3_0,31.8
:cluster_gneJ234_gneJ235_gneJ237_4_0,21.77
:cluster_gneJ234_gneJ235_gneJ237_5_0,29.01
:cluster_gneJ234_gneJ235_gneJ237_6_0,22.11
:cluster_gneJ234_gneJ235_gneJ237_7_0,26.28
:cluster_gneJ234_gneJ235_gneJ237_8_0,22.2
:cluster_gneJ378_gneJ380_0_0,19.62
:cluster_gneJ378_gneJ380_0_1,19.62
:cluster_gneJ378_gneJ380_2_0,8.6
:cluster_gneJ378_gneJ380_2_1,5.9
:cluster_gneJ378_gneJ380_4_0,1.9
:cluster_gneJ378_gneJ380_4_1,2.75
:cluster_gneJ378_gneJ380_6_0,9.11
:cluster_gneJ378_gneJ380_7_0,3.93
:cluster_gneJ379_gneJ381_0_0,1.63
:cluster_gneJ379_gneJ381_0_1,2.28
:cluster_gneJ379_gneJ381_2_0,19.77
:cluster_gneJ379_gneJ381_2_1,19.77
:cluster_gneJ379_gneJ381_4_0,8.98
:cluster_gneJ379_gneJ381_4_1,6.71
:cluster_gneJ379_gneJ381_6_0,9.53
:cluster_gneJ379_gneJ381_7_0,4.28
:gneJ100_0_0,13.16
:gneJ100_0_1,13.16
:gneJ100_2_0,13.05
:gneJ101_0_0,6.04
:gneJ101_0_1,6.04
:gneJ101_2_0,8.98
:gneJ109_0_0,35.36
:gneJ109_0_1,35.36
:gneJ109_2_0,35.95
:gneJ109_2_1,35.95
:gneJ112_0_0,15.06
:gneJ112_1_0,15.34
:gneJ112_1_1,15.34
:gneJ112_3_0,11.36
:gneJ114_0_0,8.6
:gneJ114_1_0,8.37
:gneJ114_1_1,8.37
:gneJ115_0_0,8.25
:gneJ115_0_1,8.25
:gneJ115_0_2,8.25
:gneJ121_0_0,10.09
:gneJ121_1_0,9.12
:gneJ121_1_1,9.12
:gneJ121_1_2,9.12
:gneJ121_1_3,9.12
:gneJ122_0_0,8.99
:gneJ122_1_0,7.93
:gneJ122_1_1,7.93
:gneJ122_1_2,7.93
:gneJ123_0_0,10.25
:gneJ123_1_0,10.92
:gneJ123_1_1,10.92
:gneJ123_1_2,10.92
:gneJ123_1_3,10.92
:gneJ124_0_0,10.05
:gneJ124_0_1,12.2
:gneJ124_2_0,10.82
:gneJ124_2_1,10.82
